Name,Calories (kcal),Total fat (g),Saturated fat (g),Cholesterol (mg),Sodium (mg),Total carbohydrate (g),Dietary fiber (g),Sugars (g),Protein (g),Vitamin D (mcg),Calcium (mg),Iron (mg),Potassium (mg),Category,Concentrated fruit and vegetable (%),FNVL (%),Health Star Rating
Thit kho nuoc dua,208.0,20.0,7.2,53.0,326.0,2.2,0.4,1.6,4.8,0.2,16.0,0.4,174.0,2,0,0,2.5
Bao,234.0,4.4,1.5,14.0,344.0,38.0,1.4,4.4,9.5,0.1,55.0,2.4,132.9,2,0,0,3.5
Fried rice,174.0,3.0,0.5,18.0,387.0,33.0,1.1,0.6,4.1,0.0,12.0,0.7,76.0,2,0,0,3.0
Kimchi fried rice,153.0,8.3,3.6,68.0,355.0,14.0,0.9,0.7,5.4,0.3,25.0,0.5,253.1,2,0,40,3.0
Garlic fried rice,168.0,5.3,0.4,0.0,177.0,27.0,0.1,0.0,2.3,0.0,5.1,0.2,33.0,2,0,0,3.5
Roasted duck,337.0,28.0,9.7,84.0,59.0,0.0,0.0,0.0,19.0,0.1,11.0,2.7,204.0,2,0,0,2.0
Sushi,165.0,8.9,1.3,8.1,254.0,18.0,1.5,3.3,3.7,0.0,27.0,0.6,139.0,2,0,5,3.5
Tuna sushi,117.0,0.4,0.1,22.0,26.0,12.0,0.2,0.0,15.0,1.0,5.7,0.6,276.4,2,0,10,4.5
Salmon sushi,180.0,8.1,1.8,31.0,147.0,13.0,0.4,0.5,13.0,6.2,10.0,0.3,225.8,2,0,10,4.0
Shrimp sushi,96.0,0.7,0.2,72.0,324.0,13.0,0.2,0.0,8.9,0.1,34.0,0.2,88.7,2,0,10,3.5
Sushi california,165.0,8.9,1.3,8.1,254.0,18.0,1.5,3.3,3.7,0.0,27.0,0.6,139.0,2,0,10,3.5
French fries,312.0,15.0,2.3,0.0,210.0,41.0,3.8,0.3,3.4,0.0,18.0,0.8,579.0,2,0,100,4.0
Sweet potato fries,276.0,20.0,1.6,0.0,193.0,23.0,3.1,5.8,1.5,0.0,35.0,0.4,219.6,2,0,100,4.0
Chicken burger,259.0,9.8,2.0,28.0,511.0,28.0,2.0,3.2,14.0,0.1,107.0,2.2,184.8,2,0,0,3.5
Turkey burger,257.0,16.0,5.0,57.0,264.0,12.0,0.7,2.0,16.0,0.2,147.0,1.7,181.0,2,0,0,3.5
Bacon burguer,468.0,35.0,12.0,99.0,1684.0,1.7,0.0,0.0,34.0,0.4,11.0,1.0,499.0,2,0,0,0.5
Hamburger,239.0,12.0,4.7,54.0,350.0,18.0,0.0,0.0,15.0,0.0,45.0,2.6,252.0,2,0,0,3.5
Spaghetti,150.0,0.6,0.1,0.0,4.8,30.0,1.3,1.1,5.3,0.0,10.0,1.3,90.3,2,0,0,4.0
Spaghetti carbonara,199.0,6.4,2.1,36.0,188.0,26.0,1.5,0.5,8.6,0.2,75.0,1.2,75.4,2,0,0,3.5
Spaghetti bolognese,101.0,3.3,1.0,9.4,96.0,13.0,1.7,2.2,5.2,0.0,31.0,1.0,171.8,2,0,0,4.0
Sausage spaghetti,131.0,5.7,2.0,11.0,250.0,14.0,1.2,1.3,6.0,0.2,36.0,0.9,121.8,2,0,0,3.5
Chicken curry,104.0,4.6,0.6,32.0,31.0,3.2,0.6,0.9,12.0,0.0,17.0,0.9,159.3,2,0,0,4.0
Fried chicken,269.0,15.0,4.1,90.0,84.0,3.2,0.1,0.0,29.0,0.1,17.0,1.4,234.0,2,0,0,4.0
Fried chicken wing,324.0,22.0,5.8,79.0,320.0,11.0,0.3,0.0,20.0,0.0,20.0,1.3,138.0,2,0,0,3.0
Fried chicken breast,260.0,13.0,3.5,85.0,275.0,9.0,0.3,0.0,25.0,0.1,20.0,1.3,201.0,2,0,0,4.0
Fried chicken tenders,302.0,17.0,2.9,46.0,800.0,19.0,0.9,0.2,19.0,0.0,18.0,0.7,324.0,2,0,0,2.0
Fried chicken drumstick,245.0,14.0,3.7,90.0,89.0,1.6,0.1,0.0,27.0,0.0,12.0,1.3,229.0,2,0,0,4.0
Nugget,307.0,20.0,3.6,55.0,594.0,15.0,0.9,0.1,16.0,0.2,11.0,0.8,251.0,2,0,0,3.0
Fish nugget,229.0,13.0,3.3,71.0,280.0,8.0,0.7,0.0,18.0,0.0,44.0,1.4,340.0,2,0,0,3.5
Bbq chicken wings,257.0,18.0,4.6,129.0,579.0,0.6,0.0,0.6,23.0,0.0,33.0,0.9,285.0,2,0,0,2.0
Bbq boneless wings,263.0,12.0,2.1,32.0,869.0,26.0,0.9,10.0,13.0,0.0,23.0,0.7,296.1,2,0,0,1.5
Bbq buffalo wings,256.0,18.0,5.9,134.0,840.0,0.3,0.0,0.2,22.0,0.2,18.0,0.8,202.6,2,0,0,1.5
Bbq honey wings,265.0,14.0,3.7,49.0,454.0,23.0,0.5,14.0,13.0,0.0,24.0,1.4,186.6,2,0,0,2.0
Burrito,180.0,6.8,2.7,12.0,451.0,23.0,3.7,2.1,7.0,0.1,90.0,1.8,204.0,2,0,0,3.5
Burrito beef,180.0,6.8,2.7,12.0,451.0,23.0,3.7,2.1,7.0,0.1,90.0,1.8,204.0,2,0,0,3.5
Steak burrito,174.0,6.2,2.6,22.0,180.0,21.0,2.4,1.0,8.7,0.0,48.0,1.3,199.0,2,0,0,4.0
Chicken burrito,166.0,5.1,2.1,22.0,184.0,21.0,2.4,1.0,9.0,0.0,47.0,1.2,184.9,2,0,0,3.5
Donut,421.0,23.0,9.5,30.0,316.0,48.0,2.1,23.0,6.1,0.1,101.0,2.4,102.0,2,0,0,1.5
Mapple donut,421.0,23.0,9.5,30.0,316.0,48.0,2.1,23.0,6.1,0.1,101.0,2.4,102.0,2,0,0,1.5
Sandwich,267.0,3.2,0.8,0.0,508.0,49.0,4.0,5.9,11.0,0.0,133.0,3.5,177.0,2,0,20,3.5
Ham sandwich,172.0,5.8,1.5,21.0,622.0,20.0,1.9,2.5,9.5,0.3,67.0,1.8,210.3,2,0,20,3.0
Tuna sandwich,208.0,7.7,1.3,9.5,426.0,20.0,0.7,1.5,14.0,0.0,51.0,1.7,164.0,2,0,20,3.5
Club sandwich,234.0,13.0,4.9,58.0,535.0,12.0,0.9,2.0,16.0,0.2,208.0,1.4,203.3,2,0,20,3.0
Bacon sandwich,408.0,27.0,12.0,69.0,1008.0,23.0,1.2,2.6,18.0,0.4,73.0,2.0,268.6,2,0,20,0.5
Turkey sandwich,217.0,8.9,1.5,31.0,279.0,19.0,1.3,2.6,14.0,0.1,63.0,1.7,179.9,2,0,20,4.0
Salmon sandwich,292.0,21.0,5.8,72.0,287.0,12.0,0.6,2.2,13.0,0.3,30.0,0.6,243.6,2,0,20,3.0
Chicken sandwich,250.0,11.0,2.1,35.0,753.0,21.0,1.4,3.6,16.0,0.1,58.0,1.8,245.0,2,0,20,2.0
Lobster roll sandwich,199.0,8.5,1.4,53.0,369.0,13.0,0.8,0.4,17.0,0.0,58.0,1.5,174.5,2,0,20,4.0
Peanut butter sandwich,392.0,21.0,4.2,0.0,485.0,39.0,3.9,6.0,14.0,0.0,109.0,3.0,308.7,2,0,0,2.5
