Name,Calories (kcal),Total fat (g),Saturated fat (g),Cholesterol (mg),Sodium (mg),Total carbohydrate (g),Dietary fiber (g),Sugars (g),Protein (g),Vitamin D (mcg),Calcium (mg),Iron (mg),Potassium (mg),Category,Concentrated fruit and vegetable (%),FNVL (%),Health Star Rating
Vegetable dumplings,169.0,4.2,0.8,29.0,708.0,25.0,1.5,1.4,8.1,0.1,117.0,2.2,134.2,2,0,0,3.0
Shrimp dumpling,189.0,1.8,0.4,81.0,638.0,28.0,1.2,0.6,13.0,0.0,57.0,1.7,126.8,2,0,0,3.5
Edamame,121.0,5.2,0.6,0.0,6.0,8.9,5.2,2.2,12.0,0.0,63.0,2.3,436.0,2,0,0,5.0
Egg benedict,260.0,19.0,10.0,268.0,690.0,11.0,0.8,0.4,11.0,1.4,74.0,1.2,202.2,2,0,0,1.5
Escargot,90.0,1.4,0.4,50.0,70.0,2.0,0.0,0.0,16.0,0.0,10.0,3.5,382.0,2,0,0,4.5
Falafel,416.0,37.0,2.4,0.0,151.0,19.0,4.5,3.0,5.4,0.0,37.0,2.1,196.8,2,0,0,3.5
Filet mignon,267.0,17.0,6.7,97.0,54.0,0.0,0.0,0.0,26.0,0.3,19.0,1.7,329.0,2,0,0,4.0
Fish and chips,134.0,5.0,0.6,29.0,273.0,14.0,0.9,0.4,8.3,0.4,37.0,0.4,283.9,2,0,0,3.5
Potato chips,532.0,34.0,3.4,0.0,527.0,54.0,3.1,0.3,6.4,0.0,21.0,1.3,1196.0,2,0,100,3.5
Sweet potato chips,532.0,32.0,2.9,0.0,35.0,57.0,8.8,8.8,2.9,0.0,59.0,2.1,925.0,2,0,100,4.5
Foie gras,462.0,44.0,14.0,150.0,697.0,4.7,0.0,0.0,11.0,0.0,70.0,5.5,138.0,2,0,0,0.5
Soup,24.0,0.8,0.2,4.0,335.0,3.0,0.5,0.0,1.2,0.0,5.0,0.3,24.0,2,0,0,3.0
Bean soup,46.0,0.7,0.2,0.0,487.0,7.7,3.4,1.2,2.4,0.0,19.0,0.8,125.0,2,0,40,3.5
Onion soup,293.0,0.3,0.1,0.0,8031.0,65.0,6.6,4.7,7.5,0.0,143.0,1.3,721.0,2,0,40,0.5
Potato soup,116.0,5.7,2.8,18.0,154.0,11.0,0.7,3.3,5.9,0.7,115.0,0.5,258.8,2,0,40,3.5
Tomato soup,35.0,0.2,0.0,0.0,187.0,7.4,0.5,4.0,0.7,0.0,7.9,0.3,275.0,2,0,40,3.5
Chicken soup,33.0,0.7,0.1,3.0,229.0,4.7,0.9,1.0,2.0,0.0,14.0,0.3,133.0,2,0,0,3.5
Broccoli soup,90.0,6.1,3.5,18.0,367.0,4.9,0.8,0.7,4.3,0.3,122.0,0.3,120.0,2,0,40,3.0
Garlic bread,350.0,17.0,5.3,0.0,544.0,42.0,2.5,3.7,8.4,0.2,27.0,3.1,103.0,2,0,0,2.0
Garlic breadstick,343.0,13.0,3.0,7.0,539.0,44.0,2.4,1.1,12.0,0.0,87.0,4.7,132.0,2,0,0,3.5
Gnocchi,201.0,1.2,0.3,29.0,14.0,41.0,2.0,0.6,6.0,0.2,13.0,2.1,252.7,2,0,0,4.0
Hot dog,322.0,29.0,12.0,58.0,852.0,2.7,0.0,1.3,12.0,1.0,11.0,1.2,252.0,2,0,0,1.0
Macaron,384.0,17.0,6.5,6.6,157.0,53.0,4.3,46.0,7.5,0.0,59.0,3.2,268.6,2,0,0,1.5
Mussels,172.0,4.5,0.9,56.0,369.0,7.4,0.0,0.0,24.0,0.0,33.0,6.7,268.0,2,0,0,4.0
Paella,183.0,9.3,2.6,47.0,336.0,14.0,0.4,1.1,10.0,0.2,21.0,0.8,166.1,2,0,0,3.5
Veggie paella,95.0,1.9,0.3,0.0,2.4,17.0,1.3,2.2,2.2,0.0,14.0,0.4,131.1,2,0,40,3.5
Seafood paella,169.0,7.9,2.3,20.0,299.0,16.0,0.2,0.9,7.7,0.2,11.0,0.9,173.1,2,0,0,3.0
Samosa,261.0,17.0,7.1,27.0,423.0,24.0,2.1,1.6,3.5,0.2,17.0,0.7,189.1,2,0,0,2.0
Chicken samosa,188.0,8.3,1.0,11.0,311.0,22.0,1.9,1.5,6.9,0.0,20.0,1.7,262.2,2,0,0,3.5
Vegetable samosa,261.0,17.0,7.1,27.0,423.0,24.0,2.1,1.6,3.5,0.2,17.0,0.7,189.1,2,0,40,2.0
Huevos ranchero,143.0,9.5,2.9,53.0,347.0,8.7,2.6,1.1,6.3,0.5,61.0,1.0,265.4,2,0,0,3.5
Sticky rice,136.0,1.1,0.1,0.0,166.0,28.0,0.0,3.5,2.0,0.0,1.5,0.2,22.8,2,0,0,3.5
Mango sticky rice,185.0,9.2,8.1,0.0,6.1,26.0,0.6,16.0,1.9,0.0,12.0,1.6,162.4,2,0,40,2.0
Xoi,138.0,2.5,2.2,0.0,5.5,27.0,0.8,10.0,1.8,0.0,3.7,0.5,32.7,2,0,0,3.0
Char siu,152.0,3.3,1.1,60.0,291.0,7.5,0.1,6.7,22.0,0.3,8.0,1.1,380.2,2,0,0,4.0
Mochi,271.0,5.6,4.5,4.4,20.0,54.0,0.5,36.0,2.7,0.0,43.0,0.8,107.9,2,0,0,2.0
Mango mochi,271.0,5.6,4.5,4.4,20.0,54.0,0.5,36.0,2.7,0.0,43.0,0.8,107.9,2,50,0,2.5
Strawberry mochi,271.0,5.6,4.5,4.4,20.0,54.0,0.5,36.0,2.7,0.0,43.0,0.8,107.9,2,50,0,2.5
Daifuku mochi,209.0,0.6,0.1,0.0,92.0,47.0,3.0,22.0,4.4,0.0,30.0,0.8,216.8,2,50,0,3.5
Yogurt,63.0,1.6,1.0,6.0,70.0,7.0,0.0,7.0,5.3,0.0,183.0,0.1,234.0,2D,0,0,5.0
Greek yogurt,59.0,0.4,0.1,5.0,36.0,3.6,0.0,3.2,10.0,0.0,110.0,0.1,141.0,2D,0,0,5.0
Nonfat yogurt,56.0,0.2,0.1,2.0,77.0,7.7,0.0,7.7,5.7,0.0,199.0,0.1,255.0,2D,0,0,5.0
Ice cream,207.0,11.0,6.8,44.0,80.0,24.0,0.7,21.0,3.5,0.2,128.0,0.1,199.0,2D,0,0,0.5
Ice cream sandwich,237.0,8.6,2.3,21.0,129.0,37.0,0.0,19.0,4.3,0.0,86.0,0.3,115.0,2D,0,0,2.5
Ice cream chocolate,216.0,11.0,6.8,34.0,76.0,28.0,1.2,25.0,3.8,0.2,109.0,0.9,249.0,2D,0,0,0.5
Vanilla ice cream,207.0,11.0,6.8,44.0,80.0,24.0,0.7,21.0,3.5,0.2,128.0,0.1,199.0,2D,0,0,0.5
Pudding,130.0,3.8,1.0,1.0,142.0,23.0,0.0,17.0,1.5,0.0,49.0,0.1,65.0,2D,0,0,2.5
Bread pudding,188.0,3.7,2.0,37.0,95.0,36.0,0.6,28.0,3.8,0.7,79.0,0.7,189.4,2D,0,0,2.0
Banana bread pudding,295.0,13.0,8.0,69.0,366.0,42.0,1.4,24.0,3.7,0.2,86.0,1.2,183.2,2D,0,0,0.5
Pumpkin bread pudding,148.0,4.4,1.0,33.0,147.0,24.0,1.6,13.0,4.5,0.6,82.0,1.3,197.9,2D,0,50,4.0
Nutella bread pudding,236.0,6.2,4.2,53.0,159.0,37.0,1.2,24.0,5.6,0.6,78.0,1.8,147.4,2D,0,0,2.0
Bread pudding chocolate,226.0,5.5,2.8,54.0,157.0,37.0,1.1,25.0,5.4,0.6,72.0,1.6,137.6,2D,0,0,2.5
Banana pudding,164.0,5.8,4.1,3.7,227.0,27.0,0.7,19.0,2.3,0.5,61.0,0.1,161.4,2D,0,50,1.5
Crepe,165.0,8.3,4.5,103.0,182.0,16.0,0.5,0.1,5.9,0.8,51.0,0.7,96.2,2D,0,0,3.0
Chocolate crepe,186.0,7.0,3.8,85.0,162.0,25.0,0.9,9.0,5.2,0.7,44.0,0.9,119.1,2D,0,0,3.0
Fruit crepe,97.0,3.3,1.7,36.0,74.0,14.0,1.4,6.5,3.2,0.3,60.0,0.4,186.1,2D,0,0,4.0
Cheesecake,321.0,23.0,9.9,55.0,438.0,26.0,0.4,22.0,5.5,0.5,51.0,0.6,90.0,2D,0,0,0.5
Cheesecake pudding,130.0,3.8,1.0,1.0,142.0,23.0,0.0,17.0,1.5,0.0,49.0,0.1,65.0,2D,0,0,2.5
Chocolate cheesecake,374.0,25.0,14.0,90.0,226.0,35.0,1.3,28.0,5.5,0.2,58.0,2.4,162.5,2D,0,0,0.5
Strawberry cheesecake,218.0,12.0,5.4,30.0,171.0,27.0,0.8,20.0,2.6,0.2,43.0,0.4,103.6,2D,0,30,1.0
Blueberry cheescake,57.0,0.3,0.0,0.0,1.0,14.0,2.4,10.0,0.7,0.0,6.0,0.3,77.0,2D,0,30,4.5
Cake,391.0,18.0,2.9,75.0,269.0,56.0,0.3,42.0,3.0,0.4,62.0,1.1,53.0,2D,0,0,0.5
Coffee cake,418.0,23.0,5.8,32.0,351.0,47.0,2.0,0.0,6.8,0.0,54.0,1.9,123.0,2D,0,0,1.0
Chocolate cake,389.0,20.0,5.9,22.0,348.0,53.0,2.2,40.0,3.5,0.0,30.0,3.0,270.0,2D,0,0,0.5
Red velvet cake,337.0,21.0,13.0,85.0,292.0,33.0,0.3,23.0,3.8,0.5,53.0,1.3,84.0,2D,0,30,0.5
Carrot cake,333.0,17.0,6.0,50.0,240.0,42.0,0.9,29.0,3.8,0.1,55.0,1.0,118.5,2D,0,30,0.5
Cookie,492.0,25.0,8.1,0.0,311.0,65.0,2.0,33.0,5.1,0.0,21.0,5.6,171.0,2D,0,0,0.5
Oreo cookie,464.0,19.0,5.6,0.0,388.0,71.0,2.9,41.0,5.2,0.0,21.0,12.0,234.0,2D,0,0,0.5
Chocolate chip cookie,492.0,25.0,8.1,0.0,311.0,65.0,2.0,33.0,5.1,0.0,21.0,5.6,171.0,2D,0,0,0.5
Chocolate cookies,489.0,33.0,16.0,100.0,361.0,46.0,2.0,41.0,4.6,0.2,25.0,2.8,77.3,2D,0,0,0.5
Biscuit,353.0,16.0,4.3,3.0,580.0,45.0,1.5,2.2,7.0,0.0,235.0,2.9,121.0,2D,0,0,0.5
Egg biscuit,274.0,16.0,3.5,180.0,655.0,23.0,0.6,0.0,8.5,0.0,60.0,2.1,175.0,2D,0,0,0.5
Chocolate biscuit,492.0,22.0,11.0,10.0,269.0,67.0,2.2,40.0,5.5,0.0,78.0,1.0,202.6,2D,0,0,0.5
Butter biscuit,467.0,19.0,11.0,117.0,282.0,69.0,0.8,20.0,6.1,0.4,29.0,2.2,111.0,2D,0,0,0.5
Waffle,291.0,14.0,2.9,69.0,511.0,33.0,0.0,0.0,7.9,0.0,255.0,2.3,159.0,2D,0,0,2.5
Pancake,227.0,9.7,2.1,59.0,439.0,28.0,0.0,0.0,6.4,0.0,219.0,1.8,132.0,2D,0,0,3.0
Pizza,266.0,9.7,4.5,17.0,598.0,33.0,2.3,3.6,11.0,0.0,188.0,2.5,172.0,2D,0,0,1.0
Pepperoni pizza,282.0,12.0,5.1,25.0,685.0,32.0,2.3,3.3,12.0,0.0,153.0,2.5,195.0,2D,0,0,0.5
Cheese pizza,266.0,9.7,4.5,17.0,598.0,33.0,2.3,3.6,11.0,0.0,188.0,2.5,172.0,2D,0,0,1.0
Chocolate donut,417.0,20.0,5.1,57.0,215.0,57.0,2.2,32.0,4.5,0.0,213.0,2.3,106.0,2D,0,0,0.5
Sour cream donut,434.0,25.0,11.0,10.0,477.0,47.0,1.7,18.0,5.3,0.0,40.0,2.5,134.0,2D,0,0,0.5
Frosted donut,421.0,22.0,9.2,29.0,310.0,49.0,2.0,25.0,5.9,0.1,97.0,2.3,99.0,2D,0,0,0.5
Grilled cheese,344.0,22.0,12.0,60.0,834.0,27.0,1.3,5.1,11.0,2.6,609.0,2.1,174.5,2D,0,0,0.5
Butter popcorn,535.0,30.0,15.0,0.0,763.0,57.0,10.0,0.3,8.4,0.0,23.0,2.1,393.0,2D,0,0,0.5
Custard pie,196.0,7.2,2.6,100.0,135.0,27.0,0.5,18.0,5.6,1.0,72.0,0.9,121.6,2D,0,0,2.5
Custard,122.0,4.0,2.0,51.0,84.0,18.0,0.0,4.8,4.0,1.2,139.0,0.3,207.0,2D,0,0,4.5
Flan,145.0,4.0,1.8,90.0,53.0,23.0,0.0,23.0,4.5,0.0,83.0,0.4,118.0,2D,0,0,3.0
Chocolate,535.0,30.0,19.0,23.0,79.0,59.0,3.4,52.0,7.7,0.0,189.0,2.4,372.0,2D,0,0,0.5
Brownie,466.0,29.0,7.3,73.0,343.0,50.0,0.0,0.0,6.2,0.0,57.0,1.8,176.0,2D,0,0,0.5
Cupcake,389.0,20.0,5.9,22.0,348.0,53.0,2.2,40.0,3.5,0.0,30.0,3.0,270.0,2D,0,0,0.5
Mini cupcake,389.0,20.0,5.9,22.0,348.0,53.0,2.2,40.0,3.5,0.0,30.0,3.0,270.0,2D,0,0,0.5
Matcha cupcake,391.0,18.0,2.9,75.0,269.0,56.0,0.3,42.0,3.0,0.4,62.0,1.1,53.0,2D,0,0,0.5
Pretzel,384.0,2.9,0.4,0.0,1240.0,80.0,3.4,2.2,10.0,0.0,27.0,4.6,223.0,2D,0,0,0.5
Croissant,406.0,21.0,12.0,67.0,467.0,46.0,2.6,11.0,8.2,0.0,37.0,2.0,118.0,2D,0,0,0.5
Egg croissant,310.0,19.0,9.7,198.0,340.0,26.0,1.4,6.4,9.7,0.8,44.0,1.8,122.6,2D,0,0,0.5
Chocolate croissant,424.0,22.0,13.0,61.0,412.0,48.0,2.7,17.0,8.1,0.0,59.0,2.1,154.3,2D,0,0,0.5
French toast,263.0,13.0,6.2,155.0,284.0,28.0,1.3,4.8,8.7,0.9,79.0,2.0,115.7,2D,0,0,2.5
Apple pie,237.0,11.0,3.8,0.0,201.0,34.0,1.6,16.0,1.9,0.0,11.0,0.5,65.0,2D,0,60,2.5
Pumpkin pie,243.0,9.8,2.0,26.0,239.0,35.0,1.8,19.0,3.9,0.1,64.0,0.9,167.0,2D,0,60,2.5
Sweet potato pie,256.0,13.0,6.7,54.0,155.0,33.0,1.5,20.0,3.0,0.4,36.0,0.8,139.3,2D,0,60,1.0
Baklava,403.0,26.0,9.3,28.0,281.0,39.0,2.4,21.0,7.2,0.0,39.0,1.6,192.6,2D,0,0,0.5
Cannoli,293.0,19.0,5.9,40.0,46.0,23.0,0.9,7.9,7.5,0.2,106.0,0.6,106.8,2D,0,0,3.0
Mousse,225.0,16.0,9.2,140.0,38.0,16.0,0.6,15.0,4.1,0.0,96.0,0.6,143.0,2D,0,0,0.5
Mango mousse,211.0,14.0,8.9,44.0,19.0,19.0,0.7,18.0,3.9,0.6,32.0,0.1,109.9,2D,0,40,0.5
Lemon mousse,115.0,2.9,1.7,11.0,267.0,20.0,0.0,0.0,2.7,0.0,99.0,0.1,127.0,2D,0,40,3.5
Pumpkin mousse,206.0,13.0,8.4,42.0,246.0,21.0,1.2,19.0,1.7,0.5,46.0,0.6,135.9,2D,0,40,0.5
Strawberry mousse,204.0,14.0,8.7,43.0,19.0,18.0,0.8,16.0,3.7,0.6,33.0,0.2,102.5,2D,0,40,0.5
Peanut butter mousse,408.0,39.0,19.0,79.0,214.0,9.1,1.5,4.2,8.7,0.8,70.0,0.7,236.4,2D,0,0,0.5
Passion fruit mousse,223.0,8.7,5.5,30.0,61.0,33.0,1.0,32.0,4.1,0.3,129.0,0.4,286.9,2D,0,40,0.5
Chocolate mousse,225.0,16.0,9.2,140.0,38.0,16.0,0.6,15.0,4.1,0.0,96.0,0.6,143.0,2D,0,0,0.5
Creme brulee,343.0,30.0,18.0,222.0,27.0,15.0,0.0,15.0,4.1,1.9,68.0,0.5,89.5,2D,0,0,0.5
Lasagna,156.0,8.4,4.0,43.0,409.0,9.0,1.0,2.9,11.0,0.3,137.0,1.2,270.4,2D,0,0,4.0
Beef lasagna,156.0,8.4,4.0,43.0,409.0,9.0,1.0,2.9,11.0,0.3,137.0,1.2,270.4,2D,0,0,4.0
Veggie lasagna,115.0,6.5,3.6,28.0,173.0,7.1,1.0,1.5,7.0,0.2,124.0,0.6,165.0,2D,0,40,4.5
Cheese lasagna,143.0,6.4,3.4,41.0,198.0,13.0,1.1,1.7,7.7,0.2,117.0,0.9,148.4,2D,0,0,4.0
Turkey lasagna,164.0,8.4,3.7,32.0,343.0,12.0,1.1,1.9,9.9,0.2,132.0,1.0,178.7,2D,0,0,4.0
Macaroni and cheese,190.0,8.3,1.8,3.0,338.0,24.0,1.2,4.3,4.9,0.0,63.0,1.0,129.0,2D,0,0,4.0
Lobster bisque,106.0,6.6,3.8,34.0,145.0,3.7,0.2,2.1,6.5,0.1,44.0,0.4,140.7,2D,0,0,4.0
Tomato bisque,56.0,4.5,2.7,14.0,252.0,3.6,0.8,2.4,1.3,0.2,25.0,0.6,143.2,2D,0,0,3.0
Crab bisque,84.0,5.8,3.7,34.0,259.0,2.3,0.2,1.6,4.3,0.0,50.0,0.2,116.4,2D,0,0,3.0
Nachos,224.0,17.0,7.1,51.0,317.0,4.8,0.7,1.8,12.0,0.1,164.0,1.0,228.6,2D,0,0,3.0
Nachos cheese,191.0,14.0,8.4,44.0,776.0,8.4,0.1,2.2,8.3,3.0,627.0,0.4,184.2,2D,0,0,0.5
Fajita nachos,177.0,12.0,4.9,46.0,292.0,4.9,0.8,2.0,12.0,0.1,138.0,0.5,188.6,2D,0,0,4.0
Pork nachos,183.0,12.0,6.1,41.0,490.0,10.0,1.0,6.3,9.3,0.2,180.0,0.6,210.9,2D,0,0,0.5
Steak nachos,226.0,18.0,7.3,53.0,307.0,4.8,0.7,1.8,12.0,0.2,161.0,0.7,211.7,2D,0,0,3.0
Nachos chicken,195.0,14.0,5.5,51.0,327.0,4.7,0.7,1.8,14.0,0.1,156.0,0.6,198.0,2D,0,0,4.0
Veggie nachos,164.0,11.0,5.0,26.0,263.0,9.5,2.5,2.1,6.9,0.1,165.0,0.7,228.7,2D,0,40,4.0
Chili nachos,181.0,12.0,5.8,34.0,381.0,11.0,2.1,1.5,9.2,0.2,225.0,1.6,223.3,2D,0,40,3.0
Onion ring,356.0,19.0,3.4,0.0,692.0,41.0,2.6,4.7,4.9,0.0,21.0,0.7,142.0,2D,0,100,4.0
Tiramisu,329.0,25.0,15.0,176.0,173.0,20.0,0.2,12.0,4.8,0.9,68.0,0.9,92.5,2D,0,0,0.5
Shortcake,314.0,14.0,7.3,27.0,764.0,41.0,1.3,4.0,6.0,0.2,253.0,1.0,98.8,2D,0,0,0.5
Strawberry shortcake,172.0,10.0,5.6,35.0,114.0,19.0,1.4,8.1,2.4,0.2,74.0,0.5,121.0,2D,0,50,2.5
Cherry shortcake,216.0,12.0,6.9,38.0,137.0,25.0,1.3,12.0,3.1,0.5,87.0,1.0,147.5,2D,0,50,2.0
Caramel shortcake,478.0,30.0,19.0,64.0,203.0,53.0,1.7,38.0,4.1,0.0,69.0,1.5,175.5,2D,0,0,0.5
Risotto,122.0,3.9,2.1,11.0,431.0,16.0,0.4,1.4,4.3,0.1,49.0,0.5,101.7,2D,0,0,3.0
Shrimp risotto,122.0,3.4,1.7,54.0,544.0,13.0,0.3,1.1,8.3,0.0,58.0,0.4,116.6,2D,0,0,3.5
Chicken risotto,99.0,2.4,0.5,18.0,170.0,10.0,0.5,1.1,7.7,0.1,16.0,1.0,142.8,2D,0,0,5.0
Pumpkin risotto,87.0,2.1,0.6,2.7,131.0,13.0,0.5,1.5,2.5,0.0,27.0,0.5,143.0,2D,0,40,4.0
Short rib risotto,135.0,6.6,2.5,22.0,152.0,11.0,0.4,1.0,7.1,0.1,17.0,1.3,156.5,2D,0,0,4.5
Mushroom risotto,83.0,3.3,1.3,5.5,91.0,10.0,0.3,1.3,2.6,0.1,11.0,0.3,145.5,2D,0,40,4.0
Mashed potato,113.0,4.2,0.8,1.0,333.0,17.0,1.5,1.4,2.0,0.2,21.0,0.3,326.0,2D,0,100,5.0
Mashed sweet potato,154.0,6.7,4.2,18.0,76.0,23.0,1.6,14.0,1.4,0.3,52.0,0.5,202.1,2D,0,100,4.5
Mashed cauliflower,90.0,7.4,4.4,19.0,305.0,4.3,2.0,1.9,2.9,0.0,50.0,0.3,136.2,2D,0,100,5.0
Poutine,222.0,14.0,5.7,27.0,397.0,16.0,1.3,0.3,7.1,0.2,187.0,0.3,223.4,2D,0,0,2.5
Dark chocolate,546.0,31.0,19.0,8.0,24.0,61.0,7.0,48.0,4.9,0.0,56.0,8.0,559.0,2D,0,0,0.5
Chocolate banana,223.0,9.8,5.1,5.8,38.0,32.0,3.0,22.0,3.7,0.0,54.0,0.8,372.8,2D,0,0,2.5
Chocolate orange,535.0,30.0,19.0,23.0,79.0,59.0,3.4,52.0,7.7,0.0,189.0,2.4,372.0,2D,0,0,0.5
Muffin,375.0,16.0,2.8,30.0,336.0,53.0,1.1,31.0,4.5,0.1,44.0,1.3,121.0,2D,0,0,0.5
Egg muffin,228.0,9.7,3.6,165.0,617.0,22.0,1.1,2.1,14.0,0.0,192.0,2.3,173.0,2D,0,0,4.0
Corn muffin,305.0,8.4,1.4,26.0,467.0,51.0,3.4,18.0,5.9,0.0,74.0,2.8,69.0,2D,0,40,1.5
Bran muffin,270.0,7.4,1.1,0.0,393.0,48.0,4.6,8.2,7.0,0.0,63.0,4.2,507.0,2D,0,40,4.0
Berry muffin,375.0,16.0,2.8,30.0,336.0,53.0,1.1,31.0,4.5,0.1,44.0,1.3,121.0,2D,0,40,0.5
Banana muffin,265.0,8.3,5.0,42.0,421.0,45.0,1.7,23.0,3.6,0.1,44.0,1.3,188.0,2D,0,40,0.5
Rasperry muffin,375.0,16.0,2.8,30.0,336.0,53.0,1.1,31.0,4.5,0.1,44.0,1.3,121.0,2D,0,40,0.5
Chocolate chip muffin,340.0,15.0,4.0,25.0,354.0,48.0,1.8,21.0,5.5,0.4,144.0,2.3,137.5,2D,0,0,0.5
Oils,884.0,100.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,4.0
Palm oils,884.0,100.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,1.0
Sesame oils,884.0,100.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,3.0
Vegetable oils,884.0,100.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,4.0
Coconut oils,892.0,99.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,3,0,0,1.0
Margarine,717.0,81.0,15.0,0.0,2.0,0.7,0.0,0.0,0.2,0.0,3.0,0.1,18.0,3,0,0,3.5
Butter,717.0,81.0,51.0,215.0,643.0,0.1,0.0,0.1,0.9,0.0,24.0,0.0,24.0,3,0,0,0.5
Cheese,404.0,33.0,19.0,99.0,653.0,3.1,0.0,0.5,23.0,0.6,710.0,0.1,76.0,3D,0,0,3.5
Blue cheese,353.0,29.0,19.0,75.0,1146.0,2.3,0.0,0.5,21.0,0.5,528.0,0.3,256.0,3D,0,0,2.0
Cheese plate,389.0,29.0,17.0,99.0,1049.0,4.9,0.0,0.3,26.0,0.5,683.0,0.4,137.7,3D,0,0,3.0
Feta cheese,264.0,21.0,15.0,89.0,917.0,4.1,0.0,4.1,14.0,0.4,493.0,0.7,62.0,3D,0,0,4.0
Goat cheese,264.0,21.0,15.0,46.0,459.0,0.0,0.0,0.0,19.0,0.4,140.0,1.9,26.0,3D,0,0,5.0
Swiss cheese,393.0,31.0,18.0,93.0,187.0,1.4,0.0,0.0,27.0,0.0,890.0,0.1,72.0,3D,0,0,5.0
Cheddar cheese,404.0,33.0,19.0,99.0,653.0,3.1,0.0,0.5,23.0,0.6,710.0,0.1,76.0,3D,0,0,3.5
Parmesan cheese,420.0,28.0,15.0,86.0,1804.0,14.0,0.0,0.1,28.0,0.5,853.0,0.5,180.0,3D,0,0,1.0
Mozzarella cheese,300.0,22.0,13.0,79.0,627.0,2.2,0.0,1.0,22.0,0.4,505.0,0.4,76.0,3D,0,0,5.0
Cottage cheese,98.0,4.3,1.7,17.0,364.0,3.4,0.0,2.7,11.0,0.1,83.0,0.1,104.0,3D,0,0,5.0
Khoa,373.0,22.0,14.0,75.0,257.0,27.0,0.0,27.0,18.0,7.3,633.0,0.3,912.6,3D,0,0,5.0
Hu tieu,66.0,2.1,0.7,40.0,142.0,4.9,0.2,0.3,6.5,0.1,10.0,0.6,59.1,2,0,0,4.0
Bun Rieu,157.0,8.4,2.9,52.0,141.0,7.7,0.5,1.5,12.2,0.0,20.0,0.9,151.9,2,0,0,4.0
Com tam,178.0,6.0,2.1,95.0,135.0,18.0,0.0,0.1,11.7,0.0,16.0,1.5,155.3,2,0,0,4.0
Banh beo,220.0,3.0,1.0,80.0,800.0,42.0,2.0,3.0,6.0,0.0,40.0,2.0,130.0,2,0,0,3.0
Bun dau mam tom,278.0,3.8,0.9,0.0,500.0,50.0,2.1,6.4,9.9,0.0,173.0,3.4,127.0,2,0,0,3.5
Banh gio,295.0,14.0,3.0,27.0,483.0,34.0,1.0,1.0,8.0,0.0,16.0,1.0,157.0,2,0,0,3.0
