name,image url
Lemonade,https://cdn.apartmenttherapy.info/image/upload/v1556729379/k/archive/bcbceed90d40c95acd29cf8295f6fda017ba9887.jpg
Limeade,https://www.spendwithpennies.com/wp-content/uploads/2021/05/Homemade-Limeade-SpendWithPennies-8-500x500.jpg
Jelly,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/fresh-raspberry-jelly-3bd57c3.jpg?quality=90&resize=500,454"
Soy milk,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/004-soymilk.jpg/1200px-004-soymilk.jpg
Almond milk,https://media.bluediamond.com/uploads/2022/11/03101425/almond-breeze-almondmilk-shelf-stable-vanilla.png
Hazelnut milk,https://www.theblendergirl.com/wp-content/uploads/2018/07/Hazelnut_Milk.jpg
Coconut milk,https://cdn-amz.woka.io/images/I/81xtWnMMx3L.jpg
Espresso,https://cdn.tgdd.vn/Files/2023/07/11/1537842/espresso-la-gi-nguyen-tac-pha-espresso-dung-chuan-202307120718497350.jpg
Soy latte,https://www.keepingthepeas.com/wp-content/uploads/2022/03/soy-latte-2.jpg
Chai latte,https://i2.wp.com/www.downshiftology.com/wp-content/uploads/2022/02/Chai-Latte-5.jpg
Almond milk latte,https://www.keepingthepeas.com/wp-content/uploads/2021/04/almond-milk-latte-11-500x500.jpg
Hazelnut latte,https://www.wearetateandlylesugars.com/sites/wearetateandlylesugars_com/files/2022-11/CoffeeHotMilk_Hazelnut_F1-500x400px.png
Milk,https://cdn.britannica.com/77/200377-050-4326767F/milk-splashing-glass.jpg
Milkshake,https://www.allrecipes.com/thmb/Hf2QcoX0D-p-B_KM_lQBokeEm00=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4459682-vanilla-milkshake-House-of-Aqua-4x3-1-e3d610774d8f4dc1ac38ac0b1eddf971.jpg
Oreo milkshake,https://www.whiskaffair.com/wp-content/uploads/2020/07/Oreo-Milkshake-2-3.jpg
Vanilla milkshake,https://bakingmischief.com/wp-content/uploads/2020/03/vanilla-milkshake-photo.jpg
Chocolate milkshake,"https://images.immediate.co.uk/production/volatile/sites/30/2020/08/milkshake-b0d6105.jpg?resize=768,574"
Strawberry milkshake,https://images.eatthismuch.com/img/45369_erin_m_9c523a97-470b-461f-9758-d4fb3c6c9e7b.png
Chocolate milk,https://www.thespruceeats.com/thmb/7qHhYYQE91l6QZTeDc59HKXgIOQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/chocolate-milk-recipe-2355494-hero-01-d44b4548f5904a758ed12d5caa0466fd.jpg
Vietnamese coffee,https://product.hstatic.net/200000221395/product/z2125630029300_cfc226d2c821fca4c9a2be05d91ca576_5179b0e0f49948b398d307b9f13e7cfb_master.jpg
Latte,https://www.acouplecooks.com/wp-content/uploads/2020/09/Latte-Art-067s.jpg
Mocha latte,https://www.spoonfulofflavor.com/wp-content/uploads/2021/11/mocha-latte-recipe.jpg
Nonfat latte,https://wearenotmartha.com/wp-content/uploads/taylor-swift-starbucks-drink-nonfat-caramel-latte-12-2.jpg
Milk tea,https://recipe52.com/wp-content/uploads/2022/11/ginger-milk-tea_1.jpg
Boba tea,https://bellyfull.net/wp-content/uploads/2022/04/Boba-Tea-blog-1.jpg
Condensed milk,https://www.simplyrecipes.com/thmb/vPtJoeHb-MTvjpt2UhQAj1BGUHo=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Simply-Recipe-Sweetened-Condensed-Milk-LEAD-06-5d49c1a582cc4743b0dfa99a7aa1688f.jpg
Hot chocolate,"https://assets.epicurious.com/photos/61eb09dfb37c8d2963dd7bde/1:1/w_2849,h_2849,c_limit/HotCocoaForOne_RECIPE_012022_086_VOG_final.jpg"
Smoothie,"https://hips.hearstapps.com/hmg-prod/images/delish-how-to-make-a-smoothie-horizontal-1542310071.png?crop=0.8893333333333334xw:1xh;center,top&resize=1200:*"
Banana smoothie,https://i2.wp.com/www.downshiftology.com/wp-content/uploads/2023/06/Banana-Smoothie-5.jpg
Strawberry smoothie,https://www.acouplecooks.com/wp-content/uploads/2020/04/Strawberry-Smoothie-003.jpg
Spinach smoothie,https://www.jessicagavin.com/wp-content/uploads/2020/07/spinach-smoothie-4-1200.jpg
Kiwi smoothie,https://www.acouplecooks.com/wp-content/uploads/2020/12/Kiwi-Smoothie-006.jpg
Tropical smoothie,https://bakerbynature.com/wp-content/uploads/2011/05/Tropical-Smoothie-123456-1-of-1.jpg
Pineapple smoothie,https://www.acouplecooks.com/wp-content/uploads/2020/06/Pineapple-Smoothie-007.jpg
Cappuccino,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Cappuccino_at_Sightglass_Coffee.jpg/1200px-Cappuccino_at_Sightglass_Coffee.jpg
Goi du du,https://www.cet.edu.vn/wp-content/uploads/2019/07/goi-du-du-chua-ngot.jpg
Salad,https://www.eatingwell.com/thmb/rmLlvSjdnJCCy_7iqqj3x7XS72c=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/chopped-power-salad-with-chicken-0ad93f1931524a679c0f8854d74e6e57.jpg
Lecttuce salad,https://insimoneskitchen.com/wp-content/uploads/2014/06/Lettuce-and-cucumber-salad-07.jpg
Spinach salad,"https://hips.hearstapps.com/hmg-prod/images/spinachsaladhorizontal-jpg-1592245758.jpg?crop=0.636xw:0.952xh;0.0689xw,0.0481xh&resize=1200:*"
Beet salad,https://www.happyfoodstube.com/wp-content/uploads/2019/11/beet-salad-with-feta-image.jpg
Greek salad,https://i2.wp.com/www.downshiftology.com/wp-content/uploads/2018/08/Greek-Salad-6-1.jpg
Caesar salad,https://natashaskitchen.com/wp-content/uploads/2019/01/Caesar-Salad-Recipe-3.jpg
Caprese salad,https://natashaskitchen.com/wp-content/uploads/2019/08/Caprese-Salad-6.jpg
Edamame salad,https://reciperunner.com/wp-content/uploads/2019/09/Asian-Edamame-Salad-Photograph-scaled.jpg
Seaweed salad,https://www.siftandsimmer.com/wp-content/uploads/2021/07/seaweed-salad-wakame2.jpg
Pho,https://www.recipetineats.com/wp-content/uploads/2019/04/Beef-Pho_6.jpg
Pho ga,https://cdn.tgdd.vn/2021/09/CookProduct/1200(3)-1200x676-2.jpg
Pho nam,https://foodelivietnam.com/wp-content/uploads/2021/12/2.jpg
Banh mi,https://cdn.tgdd.vn/2021/05/CookRecipe/Avatar/banh-mi-thit-bo-nuong-thumbnail-1.jpg
Pork banh mi,https://chatelaine.com/wp-content/uploads/2022/08/grilled-pork-banh-mi-feature.jpg
Chicken banh mi,https://www.recipetineats.com/wp-content/uploads/2023/02/Chicken-banh-mi_5.jpg
Banh goi,https://cdn.tgdd.vn/2023/04/CookDish/cach-lam-banh-goi-nhan-thit-don-gian-ma-ngon-ngat-ngay-avt-1200x676.jpg
Banh can,https://cdn.tgdd.vn/Files/2020/06/24/1265158/cach-lam-banh-can-da-lat-chuan-vi-lam-mot-lan-la-an-ngay-202006240904228277.jpg
Banh giay,https://cdn.tgdd.vn/Files/2019/08/31/1193516/banh-giay-hay-banh-day-moi-la-dung-202201200859405454.jpg
Banh cuon,https://cdn.tgdd.vn/Files/2020/05/21/1257167/cach-lam-banh-cuon-bang-chao-chong-dinh-chi-10-phut-co-ngay-bua-sang-202208151607177009.jpg
Banh khot,https://img-global.cpcdn.com/recipes/b9efd1f8030db9cc/680x482cq70/banh-kh%E1%BB%8Dt-tom-th%E1%BB%8Bt-recipe-main-photo.jpg
Banh bot loc,https://cdn.tgdd.vn/Files/2015/12/05/752695/cach-lam-banh-bot-loc-ngon-6-760x367.jpg
Banh xeo,https://cdn.tgdd.vn/Files/2020/05/20/1256908/troi-mua-thu-lam-banh-xeo-kieu-mien-bac-gion-ngon-it-dau-mo-202005201034115966.jpg
Banh tieu,https://fullofplants.com/wp-content/uploads/2020/05/super-tender-hollow-sesame-brioche-vietnamese-inspired-vegan-banh-tieu-thumb.jpg
Banh trang,https://i-giadinh.vnecdn.net/2023/08/05/mon-7-1691221823-6409-1691221866.jpg
Banh trung thu,https://static.vinwonders.com/production/nguyen-lieu-lam-banh-trung-thu-1.jpg
Canh chua,https://i-giadinh.vnecdn.net/2023/04/25/Thanh-pham-1-1-7239-1682395675.jpg
Bun bo Hue,https://www.marionskitchen.com/wp-content/uploads/2021/09/Bun-Bo-Hue8635.jpg
Bun bo xao,https://www.cooking-therapy.com/wp-content/uploads/2020/04/Bun-Bo-Xao-7-scaled.jpg
Bun thit nuong,https://www.cooking-therapy.com/wp-content/uploads/2023/08/Bun-Thit-Nuong-14.jpg
Cha gio,https://cdn.tgdd.vn/Files/2017/03/28/965860/cach-lam-mon-cha-gio-thom-ngon--5_760x536.jpg
Goi cuon,https://cdn.tgdd.vn/Files/2017/03/22/963738/cach-lam-goi-cuon-tom-thit-thom-ngon-cho-bua-com-gian-don-202203021427281747.jpg
